"...1","id","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","accommodates","bedrooms","beds","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_60","availability_365","number_of_reviews","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","calculated_host_listings_count","reviews_per_month","n_days_last_review","n_character_in_desription","n_days_host_since","n_characters_in_host_about","n_host_verifications","classes_property_type","bathrooms_type","bathroom_number","n_amenities","amenities_Wifi","amenities_Backyard","amenities_TV","amenities_Washer","amenities_Dishwasher","amenities_AC","amenities_Breakfast","price_new","price_per_accomate","lasso_rating"
1,2595,90,79,0,6,1,1,"Manhattan",1,1,1,30,1125,1,36,341,48,4.72,4.62,4.76,4.79,4.86,4.41,3,0.34,700,1000,4773,427,9,3,2,1,30,1,0,1,0,0,1,0,150,150,-0.447063315285732
2,3831,50,88,0,1,1,1,"Brooklyn",3,1,3,1,1125,1,1,212,408,4.59,4.5,4.79,4.81,4.72,4.65,1,5.09,97,999,4684,220,6,3,2,1,34,1,0,1,0,0,1,0,75,25,-0.611147780770169
3,5178,100,100,0,1,1,0,"Manhattan",2,1,1,2,14,1,7,255,485,4.19,3.71,4.65,4.4,4.86,4.35,1,3.63,78,1000,4598,105,4,2,2,1,18,1,0,1,0,0,1,0,61,30.5,-1.90564790224862
4,5203,90,79,0,1,1,1,"Manhattan",1,1,1,2,14,1,0,0,118,4.83,4.82,4.97,4.95,4.94,4.92,1,0.9,1545,1000,4624,813,7,2,1,1,15,1,0,0,0,0,1,1,75,75,0.503560605991689
5,5803,97,100,1,3,1,1,"Brooklyn",2,1,0,4.1,21,1,31,336,192,4.74,4.63,4.81,4.82,4.86,4.75,3,1.43,78,999,4591,606,7,2,2,1.5,49,1,1,0,0,1,1,0,98,49,-0.155593991463329
6,6848,100,100,0,1,1,1,"Brooklyn",3,1,1,30,1125,1,18,263,181,4.59,4.86,4.84,4.8,4.66,4.56,1,1.27,574,1000,4534,1295,7,3,2,1,27,1,0,1,1,1,1,0,89,29.6666666666667,-0.550088769451234
7,6990,100,100,0,3,1,1,"Manhattan",1,1,1,30,1125,1,0,258,234,4.81,4.96,4.96,4.95,4.84,4.84,1,1.88,92,1000,4528,158,5,2,1,1,17,1,0,0,0,0,1,1,62,62,0.388323149191625
8,7097,100,100,1,1,1,1,"Brooklyn",4,1,2,2,1125,1,3,278,259,4.89,4.9,4.96,4.91,4.93,4.78,2,2.95,64,1000,4523,288,8,3,2,1,35,1,1,1,1,0,1,0,199,49.75,0.422508271474196
9,8490,100,98,1,2,1,1,"Brooklyn",5,1,4,2,1125,1,15,315,132,4.85,4.73,4.88,4.87,4.59,4.74,2,1.15,98,1000,4469,324,5,3,2,1,27,1,0,1,0,0,1,0,136,27.2,-0.119949858183756
10,9357,90,79,0,1,1,1,"Manhattan",2,1,1,30,1125,1,0,215,58,4.68,4.16,4.97,5,4.95,4.58,1,0.57,1513,988,4442,258,4,3,2,1,16,1,0,1,1,0,1,0,150,75,-0.491937552516469
11,9657,90,71,1,1,1,1,"Manhattan",2,1,1,10,1125,1,31,34,39,4.85,4.44,4.88,4.85,4.85,4.29,1,0.73,79,1000,4493,272,4,3,2,1,34,1,0,1,0,0,1,0,192,96,-0.111580635656316
12,9704,100,0,0,1,1,1,"Manhattan",2,1,1,30,730,1,1,216,98,4.91,4.73,4.91,4.84,4.84,4.9,1,1.44,569,1000,4432,187,8,2,1,1,10,1,0,1,0,0,1,0,55,27.5,0.330394084353005
13,10452,100,86,1,0,1,1,"Brooklyn",3,1,2,30,730,1,3,212,76,4.48,4.61,4.71,4.84,4.37,4.63,5,0.67,186,1000,4414,25,6,2,1,1,27,1,0,1,1,0,1,0,80,26.6666666666667,-0.763064642147027
14,10962,97,100,1,3,1,1,"Brooklyn",2,1,0,4.1,21,1,29,334,188,4.76,4.61,4.86,4.78,4.88,4.76,3,2.14,78,1000,4591,606,7,2,1,1,25,1,1,0,1,0,1,0,98,49,-0.0259668687672854
15,12192,100,72,0,2,1,0,"Manhattan",2,1,1,2,1125,1,0,30,265,4.57,4.03,4.8,4.85,4.69,4.55,2,2.04,324,999,4368,233,4,2,1,1,26,1,0,1,0,0,1,0,40,20,-0.706025521627111
16,12343,90,79,0,1,1,0,"Manhattan",3,1,1,30,1125,1,59,364,107,4.82,4.69,4.97,4.9,4.51,4.7,1,0.81,818,889,4365,55,5,3,2,1,9,1,0,1,0,0,1,0,250,83.3333333333333,-0.285149791173242
17,12937,100,95,1,1,1,0,"Queens",4,1,2,3,1125,1,19,164,294,4.91,4.9,4.89,4.9,4.88,4.83,1,3.11,69,1000,4356,1035,4,2,2,1,25,1,1,0,0,0,1,0,145,36.25,0.560285343299984
18,12940,90,75,0,4,1,1,"Brooklyn",2,1,1,30,365,1,0,226,71,4.58,4.38,4.69,4.51,4,4.34,1,1.01,112,1000,4356,144,5,3,2,1,20,1,0,0,0,0,1,0,99,49.5,-1.43106936419086
19,13121,90,80,0,6,1,1,"Queens",3,1,2,2,365,1,56,361,68,4.34,4.68,4.39,4.3,3.61,4.22,5,0.82,85,1000,4452,243,4,2,2,1,16,1,0,1,0,0,1,0,75,25,-2.05341603119071
